País,Coca_cultivo,Opio_cultivo,Cocaína_produccion,Categoría_Cocaína_produccion,Opioides_produccion,Categoría_Opioides_produccion,Metanfetaminas_produccion,Categoría_Metanfetaminas_produccion,Cocaína_consumo,Categoría_Cocaína_consumo,Cannabis_consumo,Categoría_Cannabis,Metanfetaminas_consumo,Categoría_Metanfetaminas_consumo,Opioides_consumo,Categoría_Opioides_consumo,Cocaína_trafico,Cannabis_trafico,Metanfetaminas_trafico,Heroína_trafico,Población,Consumo_Tn,Mercado_USD
South Africa,,,1.0,MUY BAJA,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,20.0,MEDIA,1.02,Media,3.65,Baja,,,0.5,Baja,,180.36,,,,,
Sweden,,,2.0,BAJA,,,2.0,MUY BAJA,1.03,Media,3.27,Baja,0.71,Media,0.94,Media,48026.8521385096,4584.52,,42621.85,100398.0,8.333034,389986407.8517
Switzerland,,,,,,,,,0.71,Media,6.95,Alta,0.38,Baja,,,53799.5833333333,,,27969.5833333333,,,
Suriname,,,,,,,,,0.25,Muy baja,3.4,Baja,,,,,,,,,,,
Thailand,,,,,,,,,0.07,Muy baja,1.33,Muy baja,1.67,Alta,,,,231.5,,16285.71,,,
Tajikistan,,,,,,,,,,,,,,,,,,675.0,20000.0,7000.0,,,
Togo,,,,,,,,,,,,,,,,,,,,28911.62,,,
Trinidad and Tobago,,,,,,,,,0.48,Baja,4.41,Media,,,,,7708.27,,,29054.25,6480.0,0.53784,4145815.9368
Turkey,,,,,,,,,0.05,Muy baja,0.84,Muy baja,0.02,Muy Baja,,,,,,,,,
Tunisia,,,,,,,,,0.1,Muy baja,3.97,Media,,,,,54269.18,12933.97,,54269.18,11000.0,0.913,49547761.34
Ukraine,,,,,,,14.0,MEDIA,0.42,Baja,2.51,Baja,0.51,Media,,,,2000.0,20089.1226532252,20089.12,,,
Uruguay,,,,,,,,,2.0,Alta,10.73,Alta,0.11,Muy Baja,2.54,Alta,8000.0,516.67,,,68880.0,5.71704,45736320.0
Uzbekistan,,,,,,,,,,,,,,,,,,3587.5,,16000.0,,,
Venezuela,,,271.0,ALTA,,,,,0.73,Media,1.48,Muy baja,0.26,Baja,,,5500.0,,,,217914.0,18.086862,37765367.856
Zambia,,,,,,,,,,,,,,,,,,2709.64,,,,,
